"PÉRIODE DE RÉFÉRENCE","GÉO","VALEUR"
"Jan-57","Alberta","1144000"
"Jan-57","Colombie-Britannique","1449000"
"Jan-57","Yukon","12000"
"Jan-57","Territoires du Nord-Ouest incluant Nunavut","19000"
"Apr-57","Canada","16479000"
"Apr-57","Terre-Neuve-et-Labrador","422000"
"Apr-57","Île-du-Prince-Édouard","99000"
"Apr-57","Nouvelle-Écosse","698000"
"Apr-57","Nouveau-Brunswick","560000"
"Apr-57","Québec","4737000"
"Apr-57","Ontario","5580000"
"Apr-57","Manitoba","856000"
"Apr-57","Saskatchewan","875000"
"Apr-57","Alberta","1153000"
"Apr-57","Colombie-Britannique","1468000"
"Apr-57","Yukon","12000"
"Apr-57","Territoires du Nord-Ouest incluant Nunavut","19000"
"Jul-57","Canada","16677000"
"Jul-57","Terre-Neuve-et-Labrador","425000"
"Jul-57","Île-du-Prince-Édouard","99000"
"Jul-57","Nouvelle-Écosse","701000"
"Jul-57","Nouveau-Brunswick","563000"
"Jul-57","Québec","4786000"
"Jul-57","Ontario","5668000"
"Jul-57","Manitoba","863000"
"Jul-57","Saskatchewan","882000"
"Jul-57","Alberta","1169000"
"Jul-57","Colombie-Britannique","1490000"
"Jul-57","Yukon","12000"
"Jul-57","Territoires du Nord-Ouest incluant Nunavut","19000"
"Oct-57","Canada","16810000"
"Oct-57","Terre-Neuve-et-Labrador","427000"
"Oct-57","Île-du-Prince-Édouard","99000"
"Oct-57","Nouvelle-Écosse","702000"
"Oct-57","Nouveau-Brunswick","565000"
"Oct-57","Québec","4825000"
"Oct-57","Ontario","5722000"
"Oct-57","Manitoba","863000"
"Oct-57","Saskatchewan","884000"
"Oct-57","Alberta","1179000"
"Oct-57","Colombie-Britannique","1511000"
"Oct-57","Yukon","13000"
"Oct-57","Territoires du Nord-Ouest incluant Nunavut","20000"
"Jan-58","Canada","16907000"
"Jan-58","Terre-Neuve-et-Labrador","428000"
"Jan-58","Île-du-Prince-Édouard","99000"
"Jan-58","Nouvelle-Écosse","705000"
"Jan-58","Nouveau-Brunswick","567000"
"Jan-58","Québec","4849000"
"Jan-58","Ontario","5759000"
"Jan-58","Manitoba","868000"
"Jan-58","Saskatchewan","884000"
"Jan-58","Alberta","1191000"
"Jan-58","Colombie-Britannique","1524000"
"Jan-58","Yukon","13000"
"Jan-58","Territoires du Nord-Ouest incluant Nunavut","20000"
"Apr-58","Canada","16997000"
"Apr-58","Terre-Neuve-et-Labrador","430000"
"Apr-58","Île-du-Prince-Édouard","100000"
"Apr-58","Nouvelle-Écosse","707000"
"Apr-58","Nouveau-Brunswick","569000"
"Apr-58","Québec","4879000"
"Apr-58","Ontario","5789000"
"Apr-58","Manitoba","872000"
"Apr-58","Saskatchewan","888000"
"Apr-58","Alberta","1198000"
"Apr-58","Colombie-Britannique","1532000"
"Apr-58","Yukon","13000"
"Apr-58","Territoires du Nord-Ouest incluant Nunavut","20000"
"Jul-58","Canada","17120000"
"Jul-58","Terre-Neuve-et-Labrador","433000"
"Jul-58","Île-du-Prince-Édouard","100000"
"Jul-58","Nouvelle-Écosse","710000"
"Jul-58","Nouveau-Brunswick","572000"
"Jul-58","Québec","4915000"
"Jul-58","Ontario","5835000"
"Jul-58","Manitoba","877000"
"Jul-58","Saskatchewan","894000"
"Jul-58","Alberta","1211000"
"Jul-58","Colombie-Britannique","1540000"
"Jul-58","Yukon","13000"
"Jul-58","Territoires du Nord-Ouest incluant Nunavut","20000"
"Oct-58","Canada","17225000"
"Oct-58","Terre-Neuve-et-Labrador","435000"
"Oct-58","Île-du-Prince-Édouard","101000"
"Oct-58","Nouvelle-Écosse","713000"
"Oct-58","Nouveau-Brunswick","574000"
"Oct-58","Québec","4947000"
"Oct-58","Ontario","5874000"
"Oct-58","Manitoba","881000"
"Oct-58","Saskatchewan","898000"
"Oct-58","Alberta","1221000"
"Oct-58","Colombie-Britannique","1548000"
"Oct-58","Yukon","13000"
"Oct-58","Territoires du Nord-Ouest incluant Nunavut","20000"
"Jan-59","Canada","17318000"
"Jan-59","Terre-Neuve-et-Labrador","437000"
"Jan-59","Île-du-Prince-Édouard","101000"
"Jan-59","Nouvelle-Écosse","716000"
"Jan-59","Nouveau-Brunswick","577000"
"Jan-59","Québec","4974000"
"Jan-59","Ontario","5907000"
"Jan-59","Manitoba","883000"
"Jan-59","Saskatchewan","900000"
"Jan-59","Alberta","1233000"
"Jan-59","Colombie-Britannique","1556000"
"Jan-59","Yukon","13000"
"Jan-59","Territoires du Nord-Ouest incluant Nunavut","21000"
"Apr-59","Canada","17406000"
"Apr-59","Terre-Neuve-et-Labrador","439000"
"Apr-59","Île-du-Prince-Édouard","101000"
"Apr-59","Nouvelle-Écosse","718000"
"Apr-59","Nouveau-Brunswick","580000"
"Apr-59","Québec","5002000"
"Apr-59","Ontario","5938000"
"Apr-59","Manitoba","888000"
"Apr-59","Saskatchewan","903000"
"Apr-59","Alberta","1241000"
"Apr-59","Colombie-Britannique","1562000"
"Apr-59","Yukon","13000"
"Apr-59","Territoires du Nord-Ouest incluant Nunavut","21000"
"Jul-59","Canada","17522000"
"Jul-59","Terre-Neuve-et-Labrador","441000"
"Jul-59","Île-du-Prince-Édouard","102000"
"Jul-59","Nouvelle-Écosse","720000"
"Jul-59","Nouveau-Brunswick","583000"
"Jul-59","Québec","5035000"
"Jul-59","Ontario","5985000"
"Jul-59","Manitoba","892000"
"Jul-59","Saskatchewan","908000"
"Jul-59","Alberta","1252000"
"Jul-59","Colombie-Britannique","1570000"
"Jul-59","Yukon","13000"
"Jul-59","Territoires du Nord-Ouest incluant Nunavut","21000"
"Oct-59","Canada","17624000"
"Oct-59","Terre-Neuve-et-Labrador","443000"
"Oct-59","Île-du-Prince-Édouard","102000"
"Oct-59","Nouvelle-Écosse","722000"
"Oct-59","Nouveau-Brunswick","584000"
"Oct-59","Québec","5068000"
"Oct-59","Ontario","6020000"
"Oct-59","Manitoba","896000"
"Oct-59","Saskatchewan","912000"
"Oct-59","Alberta","1263000"
"Oct-59","Colombie-Britannique","1580000"
"Oct-59","Yukon","13000"
"Oct-59","Territoires du Nord-Ouest incluant Nunavut","21000"
"Jan-60","Canada","17710000"
"Jan-60","Terre-Neuve-et-Labrador","445000"
"Jan-60","Île-du-Prince-Édouard","103000"
